precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,3,-100,NA,-100,-100,2025-09-14,Violent
1,Rape,0,0,NA,1,1,0,13,12,8.3,8.3,550,18.2,2025-09-14,Violent
1,Robbery,2,2,0,10,8,25,113,91,24.2,17.7,94.8,-81.4,2025-09-14,Property
1,Felony Assault,3,4,-25,16,17,-5.9,114,150,-24,15.2,128,-10.9,2025-09-14,Violent
1,Burglary,7,4,75,14,9,55.6,134,158,-15.2,-1.5,6.3,-77.6,2025-09-14,Property
1,Grand Larceny,32,25,28,91,88,3.4,827,794,4.2,-6.3,10.6,-70,2025-09-14,Property
1,Motor Vehicle Theft,1,0,NA,4,2,100,26,29,-10.3,-48,-13.3,-95.9,2025-09-14,Property
1,Total Major Felonies,45,35,28.6,136,125,8.8,1227,1237,-0.8,-3.8,20.9,-74.2,2025-09-14,Combined Total
1,Transit System Crimes,0,4,-100,4,10,-60,69,68,1.5,3,56.8,NA,2025-09-14,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2025-09-14,Other/Mixed Category
1,Petty Theft,71,78,-9,262,295,-11.2,2431,2718,-10.6,-13.2,93.9,NA,2025-09-14,Property
1,Retail Theft,62,72,-13.9,242,285,-15.1,2367,2641,-10.4,-15.9,NA,NA,2025-09-14,Other/Mixed Category
1,Misdemeanor Assault,11,8,37.5,35,37,-5.4,309,324,-4.6,10.4,75.6,NA,2025-09-14,Violent
1,Rape (FBI/UCR Definition),0,1,-100,1,2,-50,16,15,6.7,6.7,NA,NA,2025-09-14,Violent
1,Other Sex Crimes,2,1,100,11,9,22.2,74,80,-7.5,8.8,NA,NA,2025-09-14,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,0,2,-100,NA,-100,-100,2025-09-14,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,0,2,-100,NA,-100,-100,2025-09-14,Other/Mixed Category
5,Murder,0,1,-100,0,1,-100,2,1,100,-50,100,-60,2025-09-14,Violent
5,Rape,1,4,-75,2,5,-60,15,11,36.4,400,150,114.3,2025-09-14,Violent
