precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,0,NA,-100,NA,-100,2026-03-08,Violent
1,Rape,0,0,NA,0,0,NA,0,5,-100,-100,NA,-100,2026-03-08,Violent
1,Robbery,1,2,-50,3,12,-75,21,23,-8.7,-19.2,133.3,-87.8,2026-03-08,Property
1,Felony Assault,2,3,-33.3,20,12,66.7,43,20,115,65.4,330,34.4,2026-03-08,Violent
1,Burglary,3,3,0,15,10,50,28,29,-3.4,-45.1,-33.3,-83,2026-03-08,Property
1,Grand Larceny,26,32,-18.8,74,110,-32.7,203,233,-12.9,7.4,4.6,-66.8,2026-03-08,Property
1,Motor Vehicle Theft,0,1,-100,4,3,33.3,6,5,20,100,200,-96.5,2026-03-08,Property
1,Total Major Felonies,32,41,-22,116,147,-21.1,301,315,-4.4,0.3,17.1,-74,2026-03-08,Combined Total
1,Transit System Crimes,2,5,-60,3,12,-75,5,19,-73.7,-61.5,-68.8,NA,2026-03-08,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-08,Other/Mixed Category
1,Petty Theft,41,58,-29.3,173,279,-38,463,647,-28.4,-38.4,74.7,NA,2026-03-08,Property
1,Retail Theft,39,60,-35,160,290,-44.8,460,652,-29.4,-38.8,NA,NA,2026-03-08,Other/Mixed Category
1,Misdemeanor Assault,8,12,-33.3,35,30,16.7,66,79,-16.5,-4.3,65,NA,2026-03-08,Violent
1,Rape (FBI/UCR Definition),0,0,NA,0,1,-100,0,6,-100,-100,NA,NA,2026-03-08,Violent
1,Other Sex Crimes,1,2,-50,3,5,-40,11,10,10,-42.1,NA,NA,2026-03-08,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Violent
5,Rape,0,0,NA,1,1,0,2,3,-33.3,NA,100,0,2026-03-08,Violent
5,Robbery,1,2,-50,7,10,-30,27,23,17.4,80,50,-76.7,2026-03-08,Property
5,Felony Assault,6,7,-14.3,17,15,13.3,40,26,53.8,-2.4,100,-4.8,2026-03-08,Violent
5,Burglary,4,0,NA,19,8,137.5,37,16,131.2,2.8,0,-74.8,2026-03-08,Property
5,Grand Larceny,8,5,60,48,49,-2,121,126,-4,-17.7,24.7,-52.4,2026-03-08,Property
5,Motor Vehicle Theft,0,0,NA,0,3,-100,1,5,-80,-87.5,-66.7,-98.7,2026-03-08,Property
5,Total Major Felonies,19,14,35.7,92,86,7,228,199,14.6,-7.7,29.5,-64.2,2026-03-08,Combined Total
5,Transit System Crimes,0,2,-100,2,9,-77.8,14,14,0,40,133.3,NA,2026-03-08,Other/Mixed Category
5,Housing System Crimes,1,1,0,6,4,50,9,10,-10,-30.8,50,NA,2026-03-08,Other/Mixed Category
5,Petty Theft,26,13,100,97,63,54,205,231,-11.3,-19.6,20.6,NA,2026-03-08,Property
5,Retail Theft,16,7,128.6,64,44,45.5,144,175,-17.7,-35.1,NA,NA,2026-03-08,Other/Mixed Category
5,Misdemeanor Assault,6,9,-33.3,33,32,3.1,67,66,1.5,1.5,71.8,NA,2026-03-08,Violent
5,Rape (FBI/UCR Definition),0,0,NA,3,1,200,6,3,100,200,NA,NA,2026-03-08,Violent
5,Other Sex Crimes,1,1,0,6,5,20,15,8,87.5,36.4,NA,NA,2026-03-08,Other/Mixed Category
5,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Other/Mixed Category
5,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Other/Mixed Category
6,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-08,Violent
6,Rape,1,0,NA,1,0,NA,1,1,0,0,0,-50,2026-03-08,Violent
6,Robbery,1,0,NA,7,8,-12.5,15,15,0,-42.3,-51.6,-90.4,2026-03-08,Property
6,Felony Assault,0,1,-100,6,6,0,20,16,25,5.3,42.9,-35.5,2026-03-08,Violent
6,Burglary,4,3,33.3,15,14,7.1,46,30,53.3,4.5,2.2,-64.3,2026-03-08,Property
6,Grand Larceny,6,21,-71.4,45,70,-35.7,126,166,-24.1,-31.5,-26.7,-69,2026-03-08,Property
6,Motor Vehicle Theft,0,1,-100,2,2,0,5,3,66.7,-37.5,0,-96.8,2026-03-08,Property
6,Total Major Felonies,12,26,-53.8,76,100,-24,213,231,-7.8,-24.5,-20.5,-75.7,2026-03-08,Combined Total
6,Transit System Crimes,0,1,-100,4,8,-50,10,13,-23.1,-9.1,-41.2,NA,2026-03-08,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-08,Other/Mixed Category
6,Petty Theft,30,18,66.7,97,106,-8.5,230,254,-9.4,-21.5,-10.9,NA,2026-03-08,Property
6,Retail Theft,19,17,11.8,65,84,-22.6,147,192,-23.4,-40,NA,NA,2026-03-08,Other/Mixed Category
6,Misdemeanor Assault,6,9,-33.3,19,28,-32.1,52,60,-13.3,-20,52.9,NA,2026-03-08,Violent
6,Rape (FBI/UCR Definition),1,0,NA,1,0,NA,3,1,200,50,NA,NA,2026-03-08,Violent
6,Other Sex Crimes,1,1,0,1,9,-88.9,7,17,-58.8,-46.2,NA,NA,2026-03-08,Other/Mixed Category
6,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Other/Mixed Category
6,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-08,Other/Mixed Category
7,Murder,0,0,NA,0,0,NA,0,2,-100,NA,-100,-100,2026-03-08,Violent
7,Rape,0,0,NA,0,0,NA,1,1,0,-50,-50,0,2026-03-08,Violent
7,Robbery,1,2,-50,6,11,-45.5,12,20,-40,-20,-45.5,-91.5,2026-03-08,Property
7,Felony Assault,1,2,-50,12,18,-33.3,31,35,-11.4,-24.4,34.8,14.8,2026-03-08,Violent
7,Burglary,2,1,100,11,11,0,25,25,0,8.7,150,-60.3,2026-03-08,Property
7,Grand Larceny,5,10,-50,25,27,-7.4,80,71,12.7,23.1,116.2,27,2026-03-08,Property
7,Motor Vehicle Theft,0,0,NA,0,0,NA,1,1,0,-90,-88.9,-98.6,2026-03-08,Property
7,Total Major Felonies,9,15,-40,54,67,-19.4,150,155,-3.2,-3.8,44.2,-59.2,2026-03-08,Combined Total
7,Transit System Crimes,0,2,-100,2,2,0,7,5,40,250,250,NA,2026-03-08,Other/Mixed Category
7,Housing System Crimes,2,1,100,14,11,27.3,36,27,33.3,9.1,44,NA,2026-03-08,Other/Mixed Category
7,Petty Theft,18,14,28.6,69,82,-15.9,195,185,5.4,1.6,80.6,NA,2026-03-08,Property
7,Retail Theft,12,7,71.4,44,54,-18.5,109,106,2.8,-9.9,NA,NA,2026-03-08,Other/Mixed Category
7,Misdemeanor Assault,8,3,166.7,33,25,32,67,72,-6.9,-22.1,39.6,NA,2026-03-08,Violent
7,Rape (FBI/UCR Definition),0,0,NA,0,0,NA,1,1,0,-80,NA,NA,2026-03-08,Violent
7,Other Sex Crimes,0,3,-100,3,6,-50,3,11,-72.7,-25,NA,NA,2026-03-08,Other/Mixed Category
7,Shooting Victims,0,0,NA,0,1,-100,0,1,-100,NA,-100,-100,2026-03-08,Other/Mixed Category
7,Shooting Incidents,0,0,NA,0,1,-100,0,1,-100,NA,-100,-100,2026-03-08,Other/Mixed Category
9,Murder,0,0,NA,0,1,-100,0,1,-100,NA,NA,-100,2026-03-08,Violent
9,Rape,0,0,NA,1,0,NA,3,0,NA,0,200,-62.5,2026-03-08,Violent
9,Robbery,2,3,-33.3,5,8,-37.5,12,20,-40,-52,-47.8,-92.2,2026-03-08,Property
9,Felony Assault,6,5,20,16,18,-11.1,37,38,-2.6,2.8,54.2,-61.1,2026-03-08,Violent
9,Burglary,2,7,-71.4,5,16,-68.8,18,37,-51.4,-45.5,-68.4,-89.6,2026-03-08,Property
9,Grand Larceny,14,18,-22.2,50,53,-5.7,110,130,-15.4,-22.5,-23.6,-58.2,2026-03-08,Property
9,Motor Vehicle Theft,1,1,0,3,3,0,4,9,-55.6,33.3,-42.9,-95.9,2026-03-08,Property
9,Total Major Felonies,25,34,-26.5,80,99,-19.2,184,235,-21.7,-24,-28.1,-76.8,2026-03-08,Combined Total
9,Transit System Crimes,0,1,-100,0,1,-100,1,4,-75,-75,-66.7,NA,2026-03-08,Other/Mixed Category
9,Housing System Crimes,4,6,-33.3,7,8,-12.5,23,24,-4.2,91.7,9.5,NA,2026-03-08,Other/Mixed Category
9,Petty Theft,22,29,-24.1,101,97,4.1,258,250,3.2,11.7,-8.8,NA,2026-03-08,Property
9,Retail Theft,11,19,-42.1,53,57,-7,139,124,12.1,15.8,NA,NA,2026-03-08,Other/Mixed Category
9,Misdemeanor Assault,10,11,-9.1,34,30,13.3,74,68,8.8,8.8,-10.8,NA,2026-03-08,Violent
9,Rape (FBI/UCR Definition),0,0,NA,1,0,NA,3,0,NA,-25,NA,NA,2026-03-08,Violent
9,Other Sex Crimes,2,0,NA,2,3,-33.3,5,10,-50,-50,NA,NA,2026-03-08,Other/Mixed Category
9,Shooting Victims,0,0,NA,0,1,-100,0,1,-100,NA,NA,-100,2026-03-08,Other/Mixed Category
